10
8.704355
1 2 3
7 3 6
9 4 6
3 9 6
9 0 14
7 6 11
8 1 15
5 9 15
8 7 15

10
0.577752
7 2 1
2 6 1
8 6 1
3 6 1
7 0 4
6 9 6
0 4 4
3 5 9
1 8 10

100
5.0164
92 39 1
43 65 1
73 35 1
55 94 1
6 59 1
80 76 1
97 16 1
6 34 2
63 73 2
6 39 1
1 0 1
82 94 3
54 22 1
71 53 1
45 48 2
74 34 3
63 18 2
78 67 2
71 64 4
78 54 5
47 8 4
42 81 5
40 12 1
89 37 3
17 47 3
75 63 2
81 0 5
20 91 5
60 9 7
68 94 6
90 97 5
69 17 5
90 7 1
6 58 2
1 93 1
56 6 5
75 21 6
8 80 1
20 99 4
36 86 6
45 91 5
37 57 8
91 1 8
60 91 4
33 34 8
84 56 8
73 90 8
56 53 9
47 63 9
66 79 8
2 50 7
31 65 8
59 52 9
76 59 11
73 98 11
93 98 16
79 60 6
35 38 10
69 54 2
52 87 11
83 49 4
43 88 4
11 81 3
98 37 5
5 11 3
29 26 3
40 50 1
40 53 9
38 28 4
26 48 10
83 27 1
20 13 12
96 56 15
77 60 12
58 62 13
82 26 6
86 37 10
32 66 6
65 71 15
70 25 6
17 41 19
58 46 18
23 26 12
55 83 16
49 4 13
68 30 21
18 19 18
60 70 24
3 85 16
93 14 22
12 44 4
51 5 6
85 62 6
45 15 17
67 24 19
82 10 22
75 95 30
14 72 27
61 2 44

100
10.355177
29 78 1
38 20 1
95 17 1
90 14 1
6 9 1
94 12 1
49 34 1
78 31 1
57 26 1
55 48 1
73 42 1
14 94 1
43 87 1
7 6 1
6 0 1
82 47 1
41 84 1
93 23 1
33 66 1
27 21 1
40 77 2
68 65 2
75 0 2
55 87 1
52 2 1
22 38 1
97 43 1
16 65 1
71 29 1
11 59 2
65 38 2
8 74 2
83 19 1
99 41 1
73 99 2
30 2 1
75 78 2
4 46 2
98 50 2
71 27 2
67 63 2
10 21 2
41 92 2
48 83 4
18 89 1
3 31 3
51 37 2
3 76 2
5 53 2
49 91 3
53 98 3
51 80 1
81 20 2
73 22 2
83 79 2
81 23 2
61 25 3
45 48 3
86 61 2
62 0 2
43 65 3
8 28 2
68 21 3
1 97 1
82 94 2
18 31 2
13 63 1
71 12 1
32 17 1
54 31 2
3 80 3
48 35 4
5 25 2
56 8 4
46 8 4
55 44 3
31 69 2
52 72 7
52 21 2
40 36 2
54 8 1
57 68 2
53 3 4
28 85 3
8 59 4
32 77 2
95 30 5
49 5 5
44 60 3
23 64 3
89 70 3
33 52 5
13 31 4
58 86 5
55 24 5
39 96 10
82 15 5
77 39 6
97 88 14

100
10.773517
36 37 1
46 72 1
1 60 1
49 73 1
24 62 1
57 59 1
35 22 1
1 14 1
76 35 1
39 84 1
16 84 1
46 57 1
35 91 1
26 12 1
3 49 1
51 37 1
45 87 1
69 65 1
21 46 1
58 42 1
51 23 1
66 43 1
58 14 1
23 88 1
97 90 1
54 49 1
37 38 1
67 45 1
66 67 1
89 77 1
34 37 1
68 82 1
66 36 1
27 61 2
44 52 1
72 69 1
84 77 1
53 30 1
55 84 1
32 59 1
10 89 1
69 83 1
1 92 1
6 99 1
56 36 1
82 96 1
2 14 1
79 44 2
17 41 2
83 56 1
1 52 1
99 3 1
75 97 1
85 76 2
52 89 1
14 57 2
98 0 2
73 56 2
32 30 1
51 61 1
64 38 1
19 72 2
93 32 2
91 2 2
51 96 2
40 77 3
7 97 1
28 45 2
9 18 2
34 62 2
36 26 2
53 18 1
85 13 3
8 9 2
45 31 3
33 15 3
54 15 2
80 8 2
50 70 3
52 11 1
5 15 1
46 47 2
49 41 3
97 50 2
78 26 1
23 97 3
48 86 4
4 16 3
71 22 3
57 20 3
0 73 3
81 53 1
63 90 4
76 95 3
40 29 3
74 30 3
40 94 3
2 25 3
48 17 2

500
5.344456
143 217 1
289 400 1
261 318 1
465 319 1
128 40 1
325 230 1
35 354 1
93 278 1
486 383 1
274 197 1
353 494 1
149 343 2
440 150 2
372 484 1
343 394 1
168 19 2
90 451 2
450 110 2
208 364 1
454 358 1
467 190 1
352 152 2
37 104 3
413 135 3
186 287 3
65 308 2
268 124 2
388 55 2
74 43 4
256 80 3
122 243 3
330 136 3
332 101 3
380 453 2
260 362 4
123 54 4
442 279 4
403 55 3
301 45 3
256 236 6
463 204 2
431 426 5
81 250 4
354 155 3
269 18 3
327 72 4
21 103 3
328 401 4
135 358 6
495 0 6
106 268 4
439 353 1
102 171 5
266 118 5
126 304 2
52 53 5
237 444 5
42 152 3
61 219 5
180 106 3
122 288 3
124 374 2
339 490 5
269 437 5
492 392 4
73 387 6
436 196 7
141 155 2
359 455 6
300 325 4
480 286 11
297 360 3
255 344 4
301 89 4
254 9 4
345 39 6
332 95 7
239 294 9
454 458 9
428 332 5
484 45 7
467 156 5
211 381 6
390 251 4
322 374 5
380 440 7
34 43 10
473 467 7
177 342 7
132 186 9
204 206 9
342 283 11
121 133 11
388 222 13
329 285 15
293 7 15
131 39 8
242 122 8
395 300 19
364 283 5
60 306 4
17 144 12
391 359 11
344 436 9
23 149 10
294 247 5
315 328 12
249 451 13
435 207 17
495 306 5
331 112 10
421 238 8
426 99 12
312 372 5
295 65 8
330 474 9
253 67 13
38 394 6
444 271 8
154 243 4
106 448 7
153 197 7
476 393 8
46 420 3
15 52 10
487 70 11
193 362 16
497 288 11
11 364 11
27 121 8
184 465 7
353 167 5
51 353 10
69 292 14
298 55 5
95 426 11
132 240 10
52 101 5
8 91 15
228 464 15
149 337 16
36 313 5
243 219 11
226 310 14
281 111 4
310 62 4
167 274 14
204 345 5
373 394 16
490 375 7
192 294 13
222 34 4
348 186 14
454 145 11
436 491 12
186 29 3
239 169 10
430 147 6
294 196 13
426 495 12
181 142 13
327 181 16
86 393 17
496 266 2
292 281 9
298 72 12
278 222 7
197 484 15
364 403 16
70 15 11
203 365 9
18 389 2
454 278 12
114 301 8
139 406 8
84 348 11
382 325 13
137 239 11
34 295 15
0 496 21
487 424 9
323 322 12
399 52 16
328 336 9
240 388 5
462 45 14
94 43 10
376 446 12
45 209 16
427 478 11
389 40 25
151 431 27
400 170 15
260 411 14
448 159 19
472 405 12
78 486 8
159 170 19
407 292 17
351 406 17
18 95 20
320 329 22
304 138 15
471 489 19
333 383 11
181 151 15
241 356 8
181 255 15
62 360 11
483 28 17
114 349 17
304 418 6
201 80 18
146 267 23
224 44 21
425 446 10
5 419 13
62 177 20
401 50 22
27 77 32
359 377 22
226 28 19
364 89 13
182 104 20
28 133 21
301 324 22
412 121 25
420 438 12
139 91 15
24 80 13
412 7 21
443 213 18
60 497 16
47 409 14
209 224 21
116 11 20
214 448 14
287 402 34
142 378 11
36 394 10
333 489 16
124 464 6
199 275 20
350 7 15
163 59 20
447 134 28
442 80 21
167 325 19
194 400 17
240 452 21
409 439 23
127 71 17
446 1 18
219 410 21
162 403 12
169 421 27
68 462 43
434 198 25
256 167 33
340 154 11
118 319 16
57 317 9
399 157 8
89 17 11
32 150 16
378 172 16
97 162 13
355 484 21
169 4 35
118 347 11
290 307 13
154 417 16
241 317 35
211 91 21
35 213 29
39 1 22
444 76 19
21 313 21
264 366 15
426 136 25
429 476 16
232 44 14
201 187 14
126 382 17
107 280 32
62 479 5
10 408 15
251 280 28
95 363 23
407 100 15
414 96 18
196 129 13
261 55 23
88 24 16
321 447 18
230 117 19
115 108 21
211 6 24
492 32 18
279 90 26
58 369 8
485 318 25
190 108 20
377 2 27
148 18 27
426 85 29
30 292 21
440 399 5
301 244 21
48 474 26
311 445 12
375 201 30
468 108 14
