10
8.136058
1 2 3
7 3 6
9 4 6
3 9 6
9 0 14
7 6 11
8 1 15
5 9 15
8 7 15

10
0.617683
7 2 1
2 6 1
8 6 1
3 6 1
7 0 4
6 9 6
0 4 4
3 5 9
1 8 10

100
3.436495
92 39 1
43 65 1
73 35 1
55 94 1
6 59 1
80 76 1
97 16 1
6 34 2
63 73 2
6 39 1
1 0 1
82 94 3
54 22 1
71 53 1
45 48 2
74 34 3
63 18 2
78 67 2
71 64 4
78 54 5
47 8 4
42 81 5
40 12 1
89 37 3
17 47 3
75 63 2
81 0 5
20 91 5
60 9 7
68 94 6
90 97 5
69 17 5
90 7 1
6 58 2
1 93 1
56 6 5
75 21 6
8 80 1
20 99 4
36 86 6
45 91 5
37 57 8
91 1 8
60 91 4
33 34 8
84 56 8
73 90 8
56 53 9
47 63 9
66 79 8
2 50 7
31 65 8
59 52 9
76 59 11
73 98 11
93 98 16
79 60 6
35 38 10
69 54 2
52 87 11
83 49 4
43 88 4
11 81 3
98 37 5
5 11 3
29 26 3
40 50 1
40 53 9
38 28 4
26 48 10
83 27 1
20 13 12
96 56 15
77 60 12
58 62 13
82 26 6
86 37 10
32 66 6
65 71 15
70 25 6
17 41 19
58 46 18
23 26 12
55 83 16
49 4 13
68 30 21
18 19 18
60 70 24
3 85 16
93 14 22
12 44 4
51 5 6
85 62 6
45 15 17
67 24 19
82 10 22
75 95 30
14 72 27
61 2 44

100
10.06222
29 78 1
38 20 1
95 17 1
90 14 1
6 9 1
94 12 1
49 34 1
78 31 1
57 26 1
55 48 1
73 42 1
14 94 1
43 87 1
7 6 1
6 0 1
82 47 1
41 84 1
93 23 1
33 66 1
27 21 1
40 77 2
68 65 2
75 0 2
55 87 1
52 2 1
22 38 1
97 43 1
16 65 1
71 29 1
11 59 2
65 38 2
8 74 2
83 19 1
99 41 1
73 99 2
30 2 1
75 78 2
4 46 2
98 50 2
71 27 2
67 63 2
10 21 2
41 92 2
48 83 4
18 89 1
3 31 3
51 37 2
3 76 2
5 53 2
49 91 3
53 98 3
51 80 1
81 20 2
73 22 2
83 79 2
81 23 2
61 25 3
45 48 3
86 61 2
62 0 2
43 65 3
8 28 2
68 21 3
1 97 1
82 94 2
18 31 2
13 63 1
71 12 1
32 17 1
54 31 2
3 80 3
48 35 4
5 25 2
56 8 4
46 8 4
55 44 3
31 69 2
52 72 7
52 21 2
40 36 2
54 8 1
57 68 2
53 3 4
28 85 3
8 59 4
32 77 2
95 30 5
49 5 5
44 60 3
23 64 3
89 70 3
33 52 5
13 31 4
58 86 5
55 24 5
39 96 10
82 15 5
77 39 6
97 88 14

